# {
#     "command": "/home/zhaojiaxin/anaconda3/envs/majiq/bin/voila --license /home/zhaojiaxin/sci_pjt/alt_spl/addon/majiq_license_academic_official.lic modulize --directory /cold_data/wangduo/AsimulatoR/majiq/simulate/voila --show-read-counts --show-per-sample-psi --untrimmed-exons --show-all -j 10 /cold_data/wangduo/AsimulatoR/majiq/splicegraph.sql /cold_data/wangduo/AsimulatoR/majiq/simulate/test-control.deltapsi.voila",
#     "dpsi_changing_threshold": 0.2,
#     "dpsi_nonchanging_threshold": 0.95,
#     "dpsi_probability_changing_threshold": 0.95,
#     "voila_version": "2.5.6.dev1+g8423f68b"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_size	event_non_changing	event_changing	junction_changing	test_median_reads	control_median_reads	test_median_psi	control_median_psi	control-test_median_dpsi	control-test_probability_changing	control-test_probability_non_changing
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_1	True	True	1176064-1176088	E3	-1-1175932	Distal	1175932-1176064	27	False	False	True		58	1.517e-03	3.384e-01	3.191e-01	9.993e-01	1.499e-19
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_1	True	True	1176064-1176088	E2	1175958-1175982	Proximal	1175932-1175958	27	False	False	False	7	21	8.366e-02	6.283e-02	-1.674e-02	1.392e-04	5.103e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176064-1176088	ENSG00000162571_1_pA3_1	True	False	-1-1175932	E2	1175958-1175982	Intron	1175982-1175983	27	False	False	False	217	425	9.327e-01	7.194e-01	-2.111e-01	6.264e-01	3.172e-09
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176064-1176088	ENSG00000162571_1_pA3_1	True	True	-1-1175932	E1	1176064-1176088	Distal	1175932-1176064	27	False	False	False		58	2.725e-04	7.202e-02	5.117e-02	1.986e-20	4.748e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_2	True	True	1176089-1176171	E3	-1-1175932	Distal	1175932-1176122	27	False	False	False	38	42	6.930e-01	5.192e-01	-1.476e-01	2.637e-01	2.729e-02
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_2	True	True	1176089-1176171	E2	1175958-1175982	Proximal	1175932-1175958	27	False	False	False	7	21	8.366e-02	6.283e-02	-1.674e-02	1.392e-04	5.103e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_2	True	False	-1-1175932	E2	1175958-1175982	Intron	1175982-1175983	27	False	False	False	217	425	9.327e-01	7.194e-01	-2.111e-01	6.264e-01	3.172e-09
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_2	True	True	-1-1175932	E1	1176089-1176171	Distal	1175932-1176122	27	False	False	False	38	42	1.275e-01	1.118e-01	-4.413e-03	7.836e-21	8.478e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_3	True	True	1176089-1176171	E3	-1-1175932	Distal	1175932-1176147	27	False	False	False	13	10	2.241e-01	7.596e-02	-1.433e-01	1.638e-01	1.807e-02
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_3	True	True	1176089-1176171	E2	1175958-1175982	Proximal	1175932-1175958	27	False	False	False	7	21	8.366e-02	6.283e-02	-1.674e-02	1.392e-04	5.103e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_3	True	False	-1-1175932	E2	1175958-1175982	Intron	1175982-1175983	27	False	False	False	217	425	9.327e-01	7.194e-01	-2.111e-01	6.264e-01	3.172e-09
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_3	True	True	-1-1175932	E1	1176089-1176171	Distal	1175932-1176147	27	False	False	False	13	10	4.196e-02	1.625e-02	-4.331e-03	8.334e-21	8.823e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_4	True	True	1176089-1176171	E3	-1-1175932	Distal	1175932-1176122	27	False	False	False	38	42	6.930e-01	5.192e-01	-1.476e-01	2.637e-01	2.729e-02
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_4	True	True	1176089-1176171	E2	1176064-1176088	Proximal	1175932-1176064	27	False	False	True		58	1.517e-03	3.384e-01	3.191e-01	9.993e-01	1.499e-19
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_4	True	False	-1-1175932	E2	1176064-1176088	Intron	1176088-1176089	27	False	False	False	217	425	7.430e-01	7.828e-01	2.358e-02	8.789e-09	5.721e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_4	True	True	-1-1175932	E1	1176089-1176171	Distal	1175932-1176122	27	False	False	False	38	42	1.275e-01	1.118e-01	-4.413e-03	7.836e-21	8.478e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_5	True	True	1176089-1176171	E3	-1-1175932	Distal	1175932-1176147	27	False	False	False	13	10	2.241e-01	7.596e-02	-1.433e-01	1.638e-01	1.807e-02
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175932	ENSG00000162571_1_pA3_5	True	True	1176089-1176171	E2	1176064-1176088	Proximal	1175932-1176064	27	False	False	True		58	1.517e-03	3.384e-01	3.191e-01	9.993e-01	1.499e-19
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_5	True	False	-1-1175932	E2	1176064-1176088	Intron	1176088-1176089	27	False	False	False	217	425	7.430e-01	7.828e-01	2.358e-02	8.789e-09	5.721e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176089-1176171	ENSG00000162571_1_pA3_5	True	True	-1-1175932	E1	1176089-1176171	Distal	1175932-1176147	27	False	False	False	13	10	4.196e-02	1.625e-02	-4.331e-03	8.334e-21	8.823e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175957	ENSG00000162571_1_pA3_6	True	True	1176016-1176063	E3	-1-1175957	Distal	1175957-1176016	35	False	False	True	43	53	6.950e-01	3.493e-01	-3.455e-01	9.701e-01	3.016e-05
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:s:na-1175957	ENSG00000162571_1_pA3_6	True	True	1176016-1176063	E2	1175983-1176015	Proximal	1175957-1175983	35	False	False	False		59	2.299e-03	2.872e-01	2.680e-01	9.414e-01	1.270e-11
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176016-1176063	ENSG00000162571_1_pA3_6	True	False	-1-1175957	E2	1175983-1176015	Intron	1176015-1176016	35	False	False	False	217	425	8.683e-01	9.047e-01	2.786e-02	2.576e-13	5.285e-01
ENSG00000162571_1	ENSG00000162571	ENSG00000162571	1	+	ENSG00000162571:t:1176016-1176063	ENSG00000162571_1_pA3_6	True	True	-1-1175957	E1	1176016-1176063	Distal	1175957-1176016	35	False	False	False	43	53	1.317e-01	9.525e-02	-2.786e-02	2.002e-15	5.285e-01
